global_sent_idx,word_idx,word,dep_length,dep_rel,pos,is_root
14,3,stagecrafts,1,nsubj,NOUN,0
14,4,are,0,ROOT,AUX,1
14,5,intimate,1,acomp,ADJ,0
14,6,and,1,cc,CCONJ,0
14,7,therefore,1,advmod,ADV,0
14,8,bolder,3,conj,VERB,0
14,9,than,1,prep,ADP,0
14,10,the,3,det,DET,0
14,11,otherwise,1,advmod,ADV,0
14,12,calculated,1,amod,VERB,0
14,13,artifice,4,pobj,NOUN,0
14,14,that,1,nsubj,PRON,0
14,15,defines,2,relcl,VERB,0
14,16,and,1,cc,CCONJ,0
14,17,overwhelms,2,conj,NOUN,0
14,18,the,1,det,DET,0
14,19,film,3,poss,NOUN,0
14,20,'s,1,case,PART,0
14,21,production,1,compound,NOUN,0
14,22,design,7,conj,NOUN,0
14,23,.,19,punct,PUNCT,0
15,0,Frida,1,nsubj,PROPN,0
15,1,is,0,ROOT,AUX,1
15,2,certainly,1,advmod,ADV,0
15,3,no,1,det,DET,0
15,4,disaster,3,attr,NOUN,0
15,5,",",4,punct,PUNCT,0
15,6,but,5,cc,CCONJ,0
15,7,neither,1,preconj,PRON,0
15,8,is,7,conj,AUX,0
15,9,it,1,nsubj,PRON,0
15,10,the,2,det,DET,0
15,11,Kahlo,1,compound,PROPN,0
15,12,movie,5,nsubj,NOUN,0
15,13,Frida,1,compound,PROPN,0
15,14,fans,2,appos,NOUN,0
15,15,have,2,aux,AUX,0
15,16,been,1,aux,AUX,0
15,17,looking,9,ccomp,VERB,0
15,18,for,1,prep,ADP,0
15,19,.,11,punct,PUNCT,0
16,0,The,1,det,DET,0
16,1,film,2,nsubj,NOUN,0
16,2,often,1,advmod,ADV,0
16,3,achieves,0,ROOT,VERB,1
16,4,a,2,det,DET,0
16,5,mesmerizing,1,amod,VERB,0
16,6,poetry,3,dobj,NOUN,0
16,7,.,4,punct,PUNCT,0
17,0,A,1,det,DET,0
17,1,work,0,ROOT,NOUN,1
17,2,of,1,prep,ADP,0
17,3,astonishing,1,amod,VERB,0
17,4,delicacy,2,pobj,NOUN,0
17,5,and,1,cc,CCONJ,0
17,6,force,2,conj,NOUN,0
17,7,.,6,punct,PUNCT,0
18,0,The,1,det,DET,0
18,1,movie,2,poss,NOUN,0
18,2,'s,1,case,PART,0
18,3,plot,1,nsubj,NOUN,0
18,4,is,0,ROOT,AUX,1
18,5,almost,1,advmod,ADV,0
18,6,entirely,1,advmod,ADV,0
18,7,witless,3,attr,NOUN,0
18,8,and,1,cc,CCONJ,0
18,9,inane,2,conj,ADJ,0
18,10,",",6,punct,PUNCT,0
18,11,carrying,7,advcl,VERB,0
18,12,every,1,det,DET,0
18,13,gag,2,dobj,NOUN,0
18,14,two,3,nummod,NUM,0
18,15,or,1,cc,CCONJ,0
18,16,three,2,conj,NUM,0
18,17,times,6,npadvmod,NOUN,0
18,18,beyond,7,prep,ADP,0
18,19,its,1,poss,PRON,0
18,20,limit,2,pobj,NOUN,0
18,21,to,1,aux,PART,0
18,22,sustain,11,advcl,VERB,0
18,23,a,1,det,DET,0
18,24,laugh,2,dobj,NOUN,0
18,25,.,21,punct,PUNCT,0
19,0,For,7,prep,ADP,0
19,1,the,2,det,DET,0
19,2,most,1,amod,ADJ,0
19,3,part,3,pobj,NOUN,0
19,4,",",3,punct,PUNCT,0
19,5,the,1,det,DET,0
19,6,ingredients,1,nsubj,NOUN,0
19,7,are,0,ROOT,AUX,1
19,8,there,1,advmod,ADV,0
19,9,.,2,punct,PUNCT,0
20,0,But,17,cc,CCONJ,0
20,1,if,3,mark,SCONJ,0
20,2,you,2,nsubj,PRON,0
20,3,'ve,1,aux,AUX,0
20,4,paid,13,advcl,VERB,0
20,5,a,2,det,DET,0
20,6,matinee,1,compound,NOUN,0
20,7,price,3,dobj,NOUN,0
20,8,and,4,cc,CCONJ,0
20,9,bought,5,conj,VERB,0
20,10,a,2,det,DET,0
20,11,big,1,amod,ADJ,0
20,12,tub,3,dobj,NOUN,0
20,13,of,1,prep,ADP,0
20,14,popcorn,1,pobj,NOUN,0
20,15,",",2,punct,PUNCT,0
20,16,there,1,expl,PRON,0
20,17,'s,0,ROOT,VERB,1
20,18,guilty,1,amod,ADJ,0
20,19,fun,2,attr,NOUN,0
20,20,to,2,aux,PART,0
20,21,be,1,auxpass,AUX,0
20,22,had,3,relcl,VERB,0
20,23,here,1,advmod,ADV,0
20,24,.,7,punct,PUNCT,0
21,0,There,1,expl,PRON,0
21,1,'s,0,ROOT,VERB,1
21,2,not,1,neg,PART,0
21,3,much,2,attr,ADJ,0
21,4,to,1,prep,ADP,0
21,5,Fatale,1,pobj,PROPN,0
21,6,",",1,punct,PUNCT,0
21,7,outside,6,advmod,ADP,0
21,8,of,1,prep,ADP,0
21,9,its,2,poss,PRON,0
21,10,stylish,1,amod,ADJ,0
21,11,surprises,3,pobj,NOUN,0
21,12,...,11,punct,PUNCT,0
21,13,but,12,cc,CCONJ,0
21,14,that,1,nsubj,PRON,0
21,15,'s,14,conj,AUX,0
21,16,OK,1,acomp,ADJ,0
21,17,.,2,punct,PUNCT,0
22,0,The,1,det,DET,0
22,1,acting,1,nsubj,NOUN,0
22,2,is,5,ccomp,AUX,0
22,3,stiff,1,acomp,ADJ,0
22,4,",",3,punct,PUNCT,0
22,5,the,1,det,DET,0
22,6,story,1,nsubj,NOUN,0
22,7,lacks,8,ccomp,VERB,0
22,8,all,1,det,DET,0
22,9,trace,2,dobj,NOUN,0
22,10,of,1,prep,ADP,0
22,11,wit,1,pobj,NOUN,0
22,12,",",3,punct,PUNCT,0
22,13,the,1,det,DET,0
22,14,sets,1,nsubj,NOUN,0
22,15,look,0,ROOT,VERB,1
22,16,like,3,mark,SCONJ,0
22,17,they,2,nsubjpass,PRON,0
22,18,were,1,auxpass,AUX,0
22,19,borrowed,4,advcl,VERB,0
22,20,from,1,prep,ADP,0
22,21,Gilligan,2,poss,PROPN,0
22,22,'s,1,case,PART,0
22,23,Island,3,pobj,PROPN,0
22,24,--,5,punct,PUNCT,0
22,25,and,10,cc,CCONJ,0
22,26,the,2,det,DET,0
22,27,CGI,1,compound,NOUN,0
22,28,Scooby,3,nsubj,PROPN,0
22,29,might,2,aux,AUX,0
22,30,well,1,advmod,ADV,0
22,31,be,16,conj,AUX,0
22,32,the,5,det,DET,0
22,33,worst,4,amod,ADJ,0
22,34,special,2,amod,ADJ,0
22,35,-,1,punct,PUNCT,0
22,36,effects,1,compound,NOUN,0
22,37,creation,6,attr,NOUN,0
22,38,of,1,prep,ADP,0
22,39,the,1,det,DET,0
22,40,year,2,pobj,NOUN,0
22,41,.,26,punct,PUNCT,0
23,0,This,1,det,DET,0
23,1,version,1,nsubj,NOUN,0
23,2,moves,0,ROOT,VERB,1
23,3,beyond,1,prep,ADP,0
23,4,the,1,det,DET,0
23,5,original,2,poss,NOUN,0
23,6,'s,1,case,PART,0
23,7,nostalgia,4,pobj,NOUN,0
23,8,for,1,prep,ADP,0
23,9,the,3,det,DET,0
23,10,communal,2,amod,ADJ,0
23,11,film,1,compound,NOUN,0
23,12,experiences,4,pobj,NOUN,0
23,13,of,1,prep,ADP,0
23,14,yesteryear,1,pobj,NOUN,0
23,15,to,13,prep,ADP,0
23,16,a,2,det,DET,0
23,17,deeper,1,amod,ADJ,0
23,18,realization,3,pobj,NOUN,0
23,19,of,1,prep,ADP,0
23,20,cinema,2,poss,NOUN,0
23,21,'s,1,case,PART,0
23,22,inability,3,pobj,NOUN,0
23,23,to,1,aux,PART,0
23,24,stand,2,acl,VERB,0
23,25,in,1,prt,ADP,0
23,26,for,2,prep,ADP,0
23,27,true,1,amod,ADJ,0
23,28,",",1,punct,PUNCT,0
23,29,lived,1,amod,VERB,0
23,30,experience,28,dobj,NOUN,0
23,31,.,29,punct,PUNCT,0
24,0,There,1,expl,PRON,0
24,1,'s,0,ROOT,VERB,1
24,2,no,2,det,DET,0
24,3,palpable,1,amod,ADJ,0
24,4,chemistry,3,attr,NOUN,0
24,5,between,1,prep,ADP,0
24,6,Lopez,1,pobj,PROPN,0
24,7,and,1,cc,CCONJ,0
24,8,male,2,conj,ADJ,0
24,9,lead,8,attr,VERB,0
24,10,Ralph,1,compound,PROPN,0
24,11,Fiennes,2,dobj,PROPN,0
24,12,",",3,punct,PUNCT,0
24,13,plus,12,cc,CCONJ,0
24,14,the,1,det,DET,0
24,15,script,4,nsubj,NOUN,0
24,16,by,1,prep,ADP,0
24,17,Working,1,compound,PROPN,0
24,18,Girl,2,pobj,PROPN,0
24,19,scribe,18,conj,VERB,0
24,20,Kevin,1,compound,PROPN,0
24,21,Wade,1,nsubj,PROPN,0
24,22,is,3,ccomp,AUX,0
24,23,workmanlike,1,acomp,ADJ,0
24,24,in,2,prep,ADP,0
24,25,the,1,det,DET,0
24,26,extreme,2,pobj,NOUN,0
24,27,.,8,punct,PUNCT,0
25,0,A,3,det,DET,0
25,1,first,2,amod,ADJ,0
25,2,-,1,punct,PUNCT,0
25,3,class,0,ROOT,NOUN,1
25,4,",",1,punct,PUNCT,0
25,5,thoroughly,1,advmod,ADV,0
25,6,involving,3,acl,VERB,0
25,7,B,1,compound,NOUN,0
25,8,movie,2,dobj,NOUN,0
25,9,that,2,nsubj,PRON,0
25,10,effectively,1,advmod,ADV,0
25,11,combines,3,relcl,VERB,0
25,12,two,1,nummod,NUM,0
25,13,surefire,2,dobj,NOUN,0
25,14,",",1,punct,PUNCT,0
25,15,beloved,1,amod,ADJ,0
25,16,genres,5,dobj,NOUN,0
25,17,--,1,punct,PUNCT,0
25,18,the,2,det,DET,0
25,19,prison,1,compound,NOUN,0
25,20,flick,4,appos,NOUN,0
25,21,and,1,cc,CCONJ,0
25,22,the,2,det,DET,0
25,23,fight,1,compound,NOUN,0
25,24,film,4,conj,NOUN,0
25,25,.,22,punct,PUNCT,0
26,0,The,1,det,DET,0
26,1,film,1,nsubj,NOUN,0
26,2,is,0,ROOT,AUX,1
26,3,so,1,advmod,ADV,0
26,4,bad,2,acomp,ADJ,0
26,5,it,3,nsubj,PRON,0
26,6,does,2,aux,AUX,0
26,7,n't,1,neg,PART,0
26,8,improve,4,ccomp,VERB,0
26,9,upon,1,prep,SCONJ,0
26,10,the,1,det,DET,0
26,11,experience,2,pobj,NOUN,0
26,12,of,1,prep,ADP,0
26,13,staring,1,pcomp,VERB,0
26,14,at,1,prep,ADP,0
26,15,a,2,det,DET,0
26,16,blank,1,amod,ADJ,0
26,17,screen,3,pobj,NOUN,0
26,18,.,16,punct,PUNCT,0
27,0,Weiss,4,nsubj,PROPN,0
27,1,and,1,cc,CCONJ,0
27,2,Speck,2,conj,PROPN,0
27,3,never,1,neg,ADV,0
27,4,make,0,ROOT,VERB,1
27,5,a,2,det,DET,0
27,6,convincing,1,amod,ADJ,0
27,7,case,3,dobj,NOUN,0
27,8,for,1,prep,ADP,0
27,9,the,1,det,DET,0
27,10,relevance,2,pobj,NOUN,0
27,11,of,1,prep,ADP,0
27,12,these,5,det,DET,0
27,13,two,4,nummod,NUM,0
27,14,20th,2,amod,ADJ,0
27,15,-,1,punct,PUNCT,0
27,16,century,1,compound,NOUN,0
27,17,footnotes,6,pobj,NOUN,0
27,18,.,14,punct,PUNCT,0
28,0,Another,1,det,DET,0
28,1,Best,0,ROOT,ADJ,1
28,2,of,1,prep,ADP,0
28,3,the,2,det,DET,0
28,4,Year,1,compound,PROPN,0
28,5,selection,3,pobj,NOUN,0
28,6,.,5,punct,PUNCT,0
29,0,It,1,nsubj,PRON,0
29,1,'s,0,ROOT,AUX,1
29,2,all,5,predet,DET,0
29,3,a,4,det,DET,0
29,4,rather,1,advmod,ADV,0
29,5,shapeless,2,amod,ADJ,0
29,6,good,1,amod,ADJ,0
29,7,time,6,attr,NOUN,0
29,8,...,7,punct,PUNCT,0
30,0,Same,1,amod,ADJ,0
30,1,song,6,nsubj,NOUN,0
30,2,",",1,punct,PUNCT,0
30,3,second,1,amod,ADJ,0
30,4,verse,3,appos,NOUN,0
30,5,",",4,punct,PUNCT,0
30,6,coulda,1,nsubj,NOUN,0
30,7,been,0,ROOT,AUX,1
30,8,better,1,acomp,ADJ,0
30,9,",",2,punct,PUNCT,0
30,10,but,3,cc,CCONJ,0
30,11,it,1,nsubj,PRON,0
30,12,coulda,5,conj,VERB,0
30,13,been,1,xcomp,VERB,0
30,14,worse,1,acomp,ADJ,0
30,15,.,3,punct,PUNCT,0
31,0,I,1,nsubj,PRON,0
31,1,love,0,ROOT,VERB,1
31,2,the,2,det,DET,0
31,3,robust,1,amod,ADJ,0
31,4,middle,3,dobj,NOUN,0
31,5,of,1,prep,ADP,0
31,6,this,1,det,DET,0
31,7,picture,2,pobj,NOUN,0
31,8,.,7,punct,PUNCT,0
32,0,That,1,nsubj,PRON,0
32,1,'s,0,ROOT,AUX,1
32,2,not,1,neg,PART,0
32,3,vintage,1,amod,ADJ,0
32,4,Spielberg,3,attr,PROPN,0
32,5,and,4,cc,CCONJ,0
32,6,that,4,mark,SCONJ,0
32,7,",",3,punct,PUNCT,0
32,8,finally,2,advmod,ADV,0
32,9,",",1,punct,PUNCT,0
32,10,is,9,conj,AUX,0
32,11,minimally,1,advmod,ADV,0
32,12,satisfying,2,acomp,ADJ,0
32,13,.,3,punct,PUNCT,0
33,0,The,1,det,DET,0
33,1,soundtrack,2,nsubj,NOUN,0
33,2,alone,1,advmod,ADV,0
33,3,is,0,ROOT,AUX,1
33,4,worth,1,acomp,ADJ,0
33,5,the,1,det,DET,0
33,6,price,2,npadvmod,NOUN,0
33,7,of,1,prep,ADP,0
33,8,admission,1,pobj,NOUN,0
33,9,.,6,punct,PUNCT,0
34,0,Mostly,4,advmod,ADV,0
34,1,Martha,3,nsubj,PROPN,0
34,2,could,2,aux,AUX,0
34,3,have,1,aux,AUX,0
34,4,used,0,ROOT,VERB,1
34,5,a,2,det,DET,0
34,6,little,1,amod,ADJ,0
34,7,trimming,3,dobj,NOUN,0
34,8,--,1,punct,PUNCT,0
34,9,10,3,nummod,NUM,0
34,10,or,1,cc,CCONJ,0
34,11,15,2,conj,NUM,0
34,12,minutes,3,nsubjpass,NOUN,0
34,13,could,2,aux,AUX,0
34,14,be,1,auxpass,AUX,0
34,15,cut,11,conj,VERB,0
34,16,and,1,cc,CCONJ,0
34,17,no,1,det,DET,0
34,18,one,2,nsubj,NOUN,0
34,19,would,1,aux,AUX,0
34,20,notice,5,conj,VERB,0
34,21,--,1,punct,PUNCT,0
34,22,but,2,cc,CCONJ,0
34,23,it,1,nsubj,PRON,0
34,24,'s,4,conj,AUX,0
34,25,a,2,det,DET,0
34,26,pleasurable,1,amod,ADJ,0
34,27,trifle,3,attr,NOUN,0
34,28,.,4,punct,PUNCT,0
35,0,For,12,prep,ADP,0
35,1,the,1,det,DET,0
35,2,rest,2,pobj,NOUN,0
35,3,of,1,prep,ADP,0
35,4,us,1,pobj,PRON,0
35,5,",",7,punct,PUNCT,0
35,6,sitting,6,csubj,VERB,0
35,7,through,1,prep,ADP,0
35,8,Dahmer,3,poss,PROPN,0
35,9,'s,1,case,PART,0
35,10,two,1,nummod,NUM,0
35,11,hours,4,pobj,NOUN,0
35,12,amounts,0,ROOT,VERB,1
35,13,to,1,prep,ADP,0
35,14,little,1,amod,ADJ,0
35,15,more,2,pobj,ADJ,0
35,16,than,1,prep,ADP,0
35,17,punishment,1,pobj,NOUN,0
35,18,.,6,punct,PUNCT,0
36,0,Featuring,15,advcl,VERB,0
36,1,a,3,det,DET,0
36,2,dangerously,1,advmod,ADV,0
36,3,seductive,1,amod,ADJ,0
36,4,performance,4,dobj,NOUN,0
36,5,from,1,prep,ADP,0
36,6,the,3,det,DET,0
36,7,great,2,amod,ADJ,0
36,8,Daniel,1,compound,PROPN,0
36,9,Auteuil,4,pobj,PROPN,0
36,10,",",5,punct,PUNCT,0
36,11,`,4,punct,PUNCT,0
36,12,`,3,punct,PUNCT,0
36,13,Sade,2,nsubj,PROPN,0
36,14,'',1,punct,PUNCT,0
36,15,covers,0,ROOT,VERB,1
36,16,the,2,det,DET,0
36,17,same,1,amod,ADJ,0
36,18,period,3,dobj,NOUN,0
36,19,as,1,prep,ADP,0
36,20,Kaufmann,4,poss,PROPN,0
36,21,'s,1,case,PART,0
36,22,`,2,punct,PUNCT,0
36,23,`,1,punct,PUNCT,0
36,24,Quills,5,pobj,PROPN,0
36,25,'',1,punct,PUNCT,0
36,26,with,11,prep,ADP,0
36,27,more,2,advmod,ADV,0
36,28,unsettlingly,1,advmod,ADV,0
36,29,realistic,1,amod,ADJ,0
36,30,results,4,pobj,NOUN,0
36,31,.,16,punct,PUNCT,0
37,0,The,1,det,DET,0
37,1,movie,1,nsubj,NOUN,0
37,2,is,0,ROOT,AUX,1
37,3,for,1,prep,ADP,0
37,4,fans,1,pobj,NOUN,0
37,5,who,3,nsubj,PRON,0
37,6,ca,2,aux,AUX,0
37,7,n't,1,neg,PART,0
37,8,stop,4,relcl,VERB,0
37,9,loving,1,xcomp,VERB,0
37,10,anime,1,dobj,NOUN,0
37,11,",",9,punct,PUNCT,0
37,12,and,10,cc,CCONJ,0
37,13,the,2,det,DET,0
37,14,fanatical,1,amod,ADJ,0
37,15,excess,1,nsubj,NOUN,0
37,16,built,14,conj,VERB,0
37,17,into,1,prep,ADP,0
37,18,it,1,pobj,PRON,0
37,19,.,17,punct,PUNCT,0
38,0,The,1,det,DET,0
38,1,Ring,1,nsubj,PROPN,0
38,2,is,0,ROOT,AUX,1
38,3,worth,1,acomp,ADJ,0
38,4,a,1,det,DET,0
38,5,look,2,npadvmod,NOUN,0
38,6,",",4,punct,PUNCT,0
38,7,if,4,mark,SCONJ,0
38,8,you,3,nsubj,PRON,0
38,9,do,2,aux,AUX,0
38,10,n't,1,neg,PART,0
38,11,demand,9,advcl,VERB,0
38,12,much,1,advmod,ADV,0
38,13,more,2,dobj,ADJ,0
38,14,than,1,prep,ADP,0
38,15,a,1,quantmod,DET,0
38,16,few,2,amod,ADJ,0
38,17,cheap,1,amod,ADJ,0
38,18,thrills,4,pobj,NOUN,0
38,19,from,1,prep,ADP,0
38,20,your,2,poss,PRON,0
38,21,Halloween,1,compound,PROPN,0
38,22,entertainment,3,pobj,NOUN,0
38,23,.,21,punct,PUNCT,0
39,0,Beautifully,1,advmod,ADV,0
39,1,observed,0,ROOT,VERB,1
39,2,",",1,punct,PUNCT,0
39,3,miraculously,1,advmod,ADV,0
39,4,unsentimental,3,amod,ADJ,0
39,5,comedy,2,compound,NOUN,0
39,6,-,1,punct,PUNCT,0
39,7,drama,6,dobj,NOUN,0
