subject,session,global_sent_idx,local_sent_idx,word_idx,word_count,FFD,GD,TRT,nFix,reg
ZAB,1,11,11,0,7,180.0,180.0,576.0,3,1
ZAB,1,11,11,1,7,,,,0,0
ZAB,1,11,11,2,7,124.0,124.0,310.0,2,0
ZAB,1,11,11,3,7,176.0,176.0,382.0,2,0
ZAB,1,11,11,4,7,132.0,132.0,132.0,1,0
ZAB,1,11,11,5,7,366.0,366.0,574.0,2,0
ZAB,1,11,11,6,7,,,,0,0
ZAB,1,12,12,0,7,116.0,116.0,116.0,1,1
ZAB,1,12,12,1,7,104.0,104.0,250.0,2,0
ZAB,1,12,12,2,7,,,,0,0
ZAB,1,12,12,3,7,132.0,360.0,360.0,2,0
ZAB,1,12,12,4,7,148.0,282.0,282.0,2,0
ZAB,1,12,12,5,7,,,,0,0
ZAB,1,12,12,6,7,160.0,254.0,254.0,2,0
ZAB,1,13,13,0,23,,,,0,0
ZAB,1,13,13,1,23,192.0,446.0,446.0,2,1
ZAB,1,13,13,2,23,92.0,92.0,92.0,1,0
ZAB,1,13,13,3,23,,,,0,0
ZAB,1,13,13,4,23,320.0,320.0,320.0,1,0
ZAB,1,13,13,5,23,172.0,842.0,842.0,3,0
ZAB,1,13,13,6,23,182.0,182.0,486.0,2,1
ZAB,1,13,13,7,23,112.0,112.0,112.0,1,0
ZAB,1,13,13,8,23,174.0,174.0,174.0,1,0
ZAB,1,13,13,9,23,142.0,634.0,1314.0,5,0
ZAB,1,13,13,10,23,,,,0,0
ZAB,1,13,13,11,23,152.0,152.0,152.0,1,0
ZAB,1,13,13,12,23,,,,0,0
ZAB,1,13,13,13,23,152.0,152.0,152.0,1,0
ZAB,1,13,13,14,23,,,,0,0
ZAB,1,13,13,15,23,184.0,184.0,334.0,2,0
ZAB,1,13,13,16,23,168.0,168.0,168.0,1,0
ZAB,1,13,13,17,23,,,,0,0
ZAB,1,13,13,18,23,106.0,106.0,106.0,1,0
ZAB,1,13,13,19,23,,,,0,0
ZAB,1,13,13,20,23,246.0,246.0,246.0,1,0
ZAB,1,13,13,21,23,,,,0,0
ZAB,1,13,13,22,23,178.0,178.0,178.0,1,0
ZAB,1,14,14,0,8,218.0,218.0,218.0,1,0
ZAB,1,14,14,1,8,236.0,236.0,236.0,1,0
ZAB,1,14,14,2,8,,,,0,0
ZAB,1,14,14,3,8,412.0,412.0,666.0,2,1
ZAB,1,14,14,4,8,118.0,118.0,488.0,2,0
ZAB,1,14,14,5,8,,,,0,0
ZAB,1,14,14,6,8,,,,0,0
ZAB,1,14,14,7,8,156.0,156.0,156.0,1,0
ZAB,1,15,15,0,21,,,,0,0
ZAB,1,15,15,1,21,186.0,186.0,186.0,1,0
ZAB,1,15,15,2,21,182.0,182.0,182.0,1,0
ZAB,1,15,15,3,21,102.0,102.0,408.0,2,1
ZAB,1,15,15,4,21,,,,0,0
ZAB,1,15,15,5,21,66.0,66.0,190.0,2,0
ZAB,1,15,15,6,21,,,,0,0
ZAB,1,15,15,7,21,196.0,196.0,196.0,1,0
ZAB,1,15,15,8,21,236.0,236.0,236.0,1,0
ZAB,1,15,15,9,21,,,,0,0
ZAB,1,15,15,10,21,190.0,190.0,190.0,1,0
ZAB,1,15,15,11,21,312.0,312.0,312.0,1,0
ZAB,1,15,15,12,21,,,,0,0
ZAB,1,15,15,13,21,128.0,128.0,346.0,2,0
ZAB,1,15,15,14,21,262.0,262.0,262.0,1,0
ZAB,1,15,15,15,21,,,,0,0
ZAB,1,15,15,16,21,412.0,412.0,412.0,1,0
ZAB,1,15,15,17,21,108.0,108.0,108.0,1,0
ZAB,1,15,15,18,21,,,,0,0
ZAB,1,15,15,19,21,174.0,174.0,174.0,1,0
ZAB,1,15,15,20,21,196.0,196.0,196.0,1,0
ZAB,1,16,16,0,13,310.0,310.0,562.0,3,1
ZAB,1,16,16,1,13,214.0,214.0,214.0,1,0
ZAB,1,16,16,2,13,256.0,256.0,256.0,1,0
ZAB,1,16,16,3,13,,,,0,0
ZAB,1,16,16,4,13,368.0,368.0,764.0,2,1
ZAB,1,16,16,5,13,124.0,124.0,124.0,1,0
ZAB,1,16,16,6,13,,,,0,0
ZAB,1,16,16,7,13,,,,0,0
ZAB,1,16,16,8,13,204.0,204.0,204.0,1,0
ZAB,1,16,16,9,13,208.0,338.0,338.0,2,0
ZAB,1,16,16,10,13,168.0,168.0,336.0,2,0
ZAB,1,16,16,11,13,182.0,384.0,384.0,2,0
ZAB,1,16,16,12,13,,,,0,0
ZAB,1,17,17,0,36,150.0,356.0,356.0,2,1
ZAB,1,17,17,1,36,114.0,114.0,114.0,1,0
ZAB,1,17,17,2,36,252.0,252.0,252.0,1,0
ZAB,1,17,17,3,36,234.0,234.0,234.0,1,0
ZAB,1,17,17,4,36,,,,0,0
ZAB,1,17,17,5,36,144.0,144.0,144.0,1,0
ZAB,1,17,17,6,36,166.0,166.0,166.0,1,0
ZAB,1,17,17,7,36,,,,0,0
ZAB,1,17,17,8,36,,,,0,0
ZAB,1,17,17,9,36,262.0,262.0,262.0,1,0
ZAB,1,17,17,10,36,68.0,68.0,68.0,1,0
ZAB,1,17,17,11,36,,,,0,0
ZAB,1,17,17,12,36,232.0,232.0,232.0,1,0
ZAB,1,17,17,13,36,76.0,76.0,304.0,2,0
ZAB,1,17,17,14,36,,,,0,0
ZAB,1,17,17,15,36,208.0,208.0,482.0,3,1
ZAB,1,17,17,16,36,166.0,166.0,338.0,2,0
ZAB,1,17,17,17,36,262.0,262.0,466.0,2,0
ZAB,1,17,17,18,36,258.0,258.0,258.0,1,0
ZAB,1,17,17,19,36,,,,0,0
ZAB,1,17,17,20,36,,,,0,0
ZAB,1,17,17,21,36,,,,0,0
ZAB,1,17,17,22,36,,,,0,0
ZAB,1,17,17,23,36,,,,0,0
ZAB,1,17,17,24,36,,,,0,0
ZAB,1,17,17,25,36,,,,0,0
ZAB,1,17,17,26,36,,,,0,0
ZAB,1,17,17,27,36,,,,0,0
ZAB,1,17,17,28,36,,,,0,0
ZAB,1,17,17,29,36,,,,0,0
ZAB,1,17,17,30,36,,,,0,0
ZAB,1,17,17,31,36,,,,0,0
ZAB,1,17,17,32,36,,,,0,0
ZAB,1,17,17,33,36,,,,0,0
ZAB,1,17,17,34,36,,,,0,0
ZAB,1,17,17,35,36,,,,0,0
ZAB,1,18,18,0,28,174.0,174.0,174.0,1,1
ZAB,1,18,18,1,28,104.0,104.0,550.0,3,0
ZAB,1,18,18,2,28,220.0,320.0,534.0,3,1
ZAB,1,18,18,3,28,82.0,82.0,358.0,3,0
ZAB,1,18,18,4,28,,,,0,0
ZAB,1,18,18,5,28,,,,0,0
ZAB,1,18,18,6,28,,,,0,0
ZAB,1,18,18,7,28,,,,0,0
ZAB,1,18,18,8,28,,,,0,0
ZAB,1,18,18,9,28,,,,0,0
ZAB,1,18,18,10,28,,,,0,0
ZAB,1,18,18,11,28,,,,0,0
ZAB,1,18,18,12,28,,,,0,0
ZAB,1,18,18,13,28,,,,0,0
ZAB,1,18,18,14,28,,,,0,0
ZAB,1,18,18,15,28,,,,0,0
ZAB,1,18,18,16,28,,,,0,0
ZAB,1,18,18,17,28,,,,0,0
ZAB,1,18,18,18,28,,,,0,0
ZAB,1,18,18,19,28,,,,0,0
ZAB,1,18,18,20,28,,,,0,0
ZAB,1,18,18,21,28,,,,0,0
ZAB,1,18,18,22,28,,,,0,0
ZAB,1,18,18,23,28,,,,0,0
ZAB,1,18,18,24,28,,,,0,0
ZAB,1,18,18,25,28,,,,0,0
ZAB,1,18,18,26,28,,,,0,0
ZAB,1,18,18,27,28,,,,0,0
ZAB,1,19,19,0,25,92.0,292.0,1162.0,6,1
ZAB,1,19,19,1,25,274.0,274.0,562.0,2,0
ZAB,1,19,19,2,25,148.0,568.0,758.0,4,0
ZAB,1,19,19,3,25,252.0,322.0,716.0,4,0
ZAB,1,19,19,4,25,98.0,98.0,98.0,1,0
ZAB,1,19,19,5,25,,,,0,0
ZAB,1,19,19,6,25,,,,0,0
ZAB,1,19,19,7,25,,,,0,0
ZAB,1,19,19,8,25,,,,0,0
ZAB,1,19,19,9,25,,,,0,0
ZAB,1,19,19,10,25,,,,0,0
ZAB,1,19,19,11,25,,,,0,0
ZAB,1,19,19,12,25,,,,0,0
ZAB,1,19,19,13,25,,,,0,0
ZAB,1,19,19,14,25,,,,0,0
ZAB,1,19,19,15,25,,,,0,0
ZAB,1,19,19,16,25,,,,0,0
ZAB,1,19,19,17,25,,,,0,0
ZAB,1,19,19,18,25,,,,0,0
ZAB,1,19,19,19,25,,,,0,0
ZAB,1,19,19,20,25,,,,0,0
ZAB,1,19,19,21,25,,,,0,0
ZAB,1,19,19,22,25,,,,0,0
ZAB,1,19,19,23,25,,,,0,0
ZAB,1,19,19,24,25,,,,0,0
ZAB,1,20,20,0,21,,,,0,0
ZAB,1,20,20,1,21,134.0,134.0,714.0,3,1
ZAB,1,20,20,2,21,212.0,212.0,692.0,4,1
ZAB,1,20,20,3,21,132.0,132.0,316.0,2,0
ZAB,1,20,20,4,21,,,,0,0
ZAB,1,20,20,5,21,,,,0,0
ZAB,1,20,20,6,21,,,,0,0
ZAB,1,20,20,7,21,,,,0,0
ZAB,1,20,20,8,21,,,,0,0
ZAB,1,20,20,9,21,,,,0,0
ZAB,1,20,20,10,21,,,,0,0
ZAB,1,20,20,11,21,,,,0,0
ZAB,1,20,20,12,21,,,,0,0
ZAB,1,20,20,13,21,,,,0,0
ZAB,1,20,20,14,21,,,,0,0
ZAB,1,20,20,15,21,,,,0,0
ZAB,1,20,20,16,21,,,,0,0
ZAB,1,20,20,17,21,,,,0,0
ZAB,1,20,20,18,21,,,,0,0
ZAB,1,20,20,19,21,,,,0,0
ZAB,1,20,20,20,21,,,,0,0
ZAB,1,21,21,0,17,158.0,158.0,158.0,1,1
ZAB,1,21,21,1,17,86.0,86.0,86.0,1,0
ZAB,1,21,21,2,17,,,,0,0
ZAB,1,21,21,3,17,,,,0,0
ZAB,1,21,21,4,17,,,,0,0
ZAB,1,21,21,5,17,236.0,236.0,236.0,1,0
ZAB,1,21,21,6,17,,,,0,0
ZAB,1,21,21,7,17,160.0,160.0,160.0,1,0
ZAB,1,21,21,8,17,210.0,210.0,438.0,2,0
ZAB,1,21,21,9,17,146.0,146.0,146.0,1,0
ZAB,1,21,21,10,17,96.0,96.0,96.0,1,0
ZAB,1,21,21,11,17,,,,0,0
ZAB,1,21,21,12,17,240.0,240.0,240.0,1,0
ZAB,1,21,21,13,17,,,,0,0
ZAB,1,21,21,14,17,,,,0,0
ZAB,1,21,21,15,17,,,,0,0
ZAB,1,21,21,16,17,,,,0,0
ZAB,1,22,22,0,16,128.0,310.0,862.0,4,1
ZAB,1,22,22,1,16,222.0,222.0,356.0,2,0
ZAB,1,22,22,2,16,54.0,54.0,330.0,3,0
ZAB,1,22,22,3,16,,,,0,0
ZAB,1,22,22,4,16,146.0,146.0,486.0,2,1
ZAB,1,22,22,5,16,,,,0,0
ZAB,1,22,22,6,16,166.0,166.0,298.0,2,0
ZAB,1,22,22,7,16,114.0,114.0,114.0,1,0
ZAB,1,22,22,8,16,294.0,294.0,294.0,1,0
ZAB,1,22,22,9,16,,,,0,0
ZAB,1,22,22,10,16,142.0,264.0,264.0,2,0
ZAB,1,22,22,11,16,,,,0,0
ZAB,1,22,22,12,16,114.0,114.0,114.0,1,0
ZAB,1,22,22,13,16,,,,0,0
ZAB,1,22,22,14,16,152.0,322.0,322.0,2,0
ZAB,1,22,22,15,16,186.0,186.0,186.0,1,0
ZAB,1,23,23,0,6,292.0,460.0,460.0,2,0
ZAB,1,23,23,1,6,148.0,148.0,148.0,1,0
ZAB,1,23,23,2,6,126.0,126.0,126.0,1,0
ZAB,1,23,23,3,6,,,,0,0
ZAB,1,23,23,4,6,206.0,206.0,206.0,1,0
ZAB,1,23,23,5,6,132.0,132.0,132.0,1,0
ZAB,1,24,24,0,7,262.0,262.0,262.0,1,0
ZAB,1,24,24,1,7,,,,0,0
ZAB,1,24,24,2,7,,,,0,0
ZAB,1,24,24,3,7,248.0,248.0,248.0,1,0
ZAB,1,24,24,4,7,,,,0,0
ZAB,1,24,24,5,7,,,,0,0
ZAB,1,24,24,6,7,234.0,234.0,234.0,1,0
ZAB,1,25,25,0,12,188.0,188.0,688.0,2,1
ZAB,1,25,25,1,12,286.0,286.0,502.0,2,0
ZAB,1,25,25,2,12,44.0,44.0,340.0,2,0
ZAB,1,25,25,3,12,140.0,140.0,140.0,1,0
ZAB,1,25,25,4,12,160.0,160.0,160.0,1,0
ZAB,1,25,25,5,12,282.0,410.0,410.0,2,0
ZAB,1,25,25,6,12,346.0,346.0,346.0,1,0
ZAB,1,25,25,7,12,,,,0,0
ZAB,1,25,25,8,12,,,,0,0
ZAB,1,25,25,9,12,,,,0,0
ZAB,1,25,25,10,12,342.0,342.0,482.0,2,1
ZAB,1,25,25,11,12,262.0,262.0,546.0,2,0
ZAB,1,26,26,0,8,,,,0,0
ZAB,1,26,26,1,8,282.0,282.0,282.0,1,0
ZAB,1,26,26,2,8,,,,0,0
ZAB,1,26,26,3,8,198.0,198.0,198.0,1,0
ZAB,1,26,26,4,8,162.0,278.0,278.0,2,0
ZAB,1,26,26,5,8,,,,0,0
ZAB,1,26,26,6,8,172.0,172.0,172.0,1,0
ZAB,1,26,26,7,8,98.0,98.0,98.0,1,0
ZAB,1,27,27,0,10,252.0,252.0,252.0,1,1
ZAB,1,27,27,1,10,66.0,66.0,66.0,1,0
ZAB,1,27,27,2,10,240.0,240.0,240.0,1,0
ZAB,1,27,27,3,10,272.0,272.0,272.0,1,0
ZAB,1,27,27,4,10,,,,0,0
ZAB,1,27,27,5,10,,,,0,0
ZAB,1,27,27,6,10,280.0,280.0,280.0,1,1
ZAB,1,27,27,7,10,150.0,150.0,150.0,1,0
ZAB,1,27,27,8,10,212.0,212.0,742.0,3,0
ZAB,1,27,27,9,10,,,,0,0
ZAB,1,28,28,0,9,126.0,126.0,126.0,1,1
ZAB,1,28,28,1,9,76.0,76.0,270.0,2,1
ZAB,1,28,28,2,9,254.0,254.0,254.0,1,0
ZAB,1,28,28,3,9,,,,0,0
ZAB,1,28,28,4,9,108.0,108.0,108.0,1,0
ZAB,1,28,28,5,9,126.0,126.0,126.0,1,0
ZAB,1,28,28,6,9,246.0,246.0,246.0,1,0
ZAB,1,28,28,7,9,,,,0,0
ZAB,1,28,28,8,9,218.0,218.0,250.0,2,0
ZAB,1,29,29,0,27,156.0,156.0,156.0,1,0
ZAB,1,29,29,1,27,236.0,236.0,236.0,1,0
ZAB,1,29,29,2,27,,,,0,0
ZAB,1,29,29,3,27,,,,0,0
ZAB,1,29,29,4,27,340.0,340.0,340.0,1,0
ZAB,1,29,29,5,27,,,,0,0
ZAB,1,29,29,6,27,178.0,178.0,178.0,1,0
ZAB,1,29,29,7,27,192.0,352.0,352.0,2,0
ZAB,1,29,29,8,27,,,,0,0
ZAB,1,29,29,9,27,,,,0,0
ZAB,1,29,29,10,27,56.0,56.0,56.0,1,0
ZAB,1,29,29,11,27,236.0,236.0,236.0,1,0
ZAB,1,29,29,12,27,290.0,290.0,290.0,1,0
ZAB,1,29,29,13,27,148.0,148.0,148.0,1,0
ZAB,1,29,29,14,27,,,,0,0
ZAB,1,29,29,15,27,260.0,260.0,260.0,1,0
ZAB,1,29,29,16,27,148.0,148.0,148.0,1,0
ZAB,1,29,29,17,27,,,,0,0
ZAB,1,29,29,18,27,112.0,112.0,112.0,1,0
ZAB,1,29,29,19,27,,,,0,0
ZAB,1,29,29,20,27,142.0,142.0,142.0,1,0
ZAB,1,29,29,21,27,30.0,30.0,30.0,1,0
ZAB,1,29,29,22,27,,,,0,0
ZAB,1,29,29,23,27,,,,0,0
ZAB,1,29,29,24,27,,,,0,0
ZAB,1,29,29,25,27,132.0,374.0,374.0,2,0
ZAB,1,29,29,26,27,254.0,254.0,254.0,1,0
ZAB,1,30,30,0,16,,,,0,0
ZAB,1,30,30,1,16,,,,0,0
ZAB,1,30,30,2,16,292.0,292.0,292.0,1,0
ZAB,1,30,30,3,16,58.0,58.0,58.0,1,1
ZAB,1,30,30,4,16,154.0,154.0,154.0,1,0
ZAB,1,30,30,5,16,194.0,194.0,194.0,1,0
ZAB,1,30,30,6,16,336.0,336.0,336.0,1,0
ZAB,1,30,30,7,16,182.0,182.0,182.0,1,0
ZAB,1,30,30,8,16,220.0,220.0,220.0,1,0
ZAB,1,30,30,9,16,224.0,224.0,224.0,1,0
ZAB,1,30,30,10,16,302.0,302.0,302.0,1,0
ZAB,1,30,30,11,16,,,,0,0
ZAB,1,30,30,12,16,,,,0,0
ZAB,1,30,30,13,16,,,,0,0
ZAB,1,30,30,14,16,,,,0,0
ZAB,1,30,30,15,16,,,,0,0
ZAB,1,31,31,0,23,132.0,748.0,874.0,4,1
ZAB,1,31,31,1,23,,,,0,0
ZAB,1,31,31,2,23,176.0,594.0,594.0,3,0
ZAB,1,31,31,3,23,222.0,222.0,222.0,1,0
ZAB,1,31,31,4,23,148.0,148.0,148.0,1,0
ZAB,1,31,31,5,23,184.0,184.0,184.0,1,0
ZAB,1,31,31,6,23,,,,0,0
ZAB,1,31,31,7,23,,,,0,0
